,id,groupId,push,pull,cost
1129,3531,51,72087,32647,104734
1332,3850,79,68473,36281,104754
401,2194,55,68526,36292,104818
934,3199,79,73182,31647,104829
788,3005,101,73404,31433,104837
673,2812,51,70855,34029,104884
994,3319,130,71295,33657,104952
940,3208,51,72272,32688,104960
930,3195,79,71140,33914,105054
896,3161,79,67322,37816,105138
1208,3661,48,63874,41271,105145
1109,3498,79,71216,33998,105214
926,3191,79,69732,35555,105287
1054,3435,79,73656,31645,105301
1016,3355,79,72233,33095,105328
898,3163,79,67741,37675,105416
753,2950,48,66334,39097,105431
1040,3404,130,72019,33549,105568
1221,3679,127,58271,47386,105657
950,3238,51,74239,31479,105718
1122,3512,48,66520,39253,105773
798,3023,51,73898,31913,105811
1328,3846,79,67184,38646,105830
782,2999,51,72851,33072,105923
1009,3346,79,68637,37360,105997
1340,3871,51,68894,37117,106011
1047,3426,130,69781,36245,106026
731,2916,48,69986,36080,106066
913,3178,79,68034,38051,106085
669,2808,51,70958,35194,106152
1284,3774,51,72659,33514,106173
842,3094,101,72666,33567,106233
816,3057,79,75143,31215,106358
908,3173,79,73231,33177,106408
668,2806,51,69748,36750,106498
671,2810,51,73962,32542,106504
1119,3508,79,73279,33293,106572
979,3300,79,73710,32873,106583
666,2802,51,70584,36074,106658
919,3184,79,73316,33418,106734
975,3296,79,73674,33161,106835
1171,3591,51,72498,34356,106854
922,3187,79,74265,32614,106879
977,3298,79,72107,34807,106914
696,2850,51,73511,33406,106917
904,3169,79,75106,32060,107166
367,2136,55,73228,34179,107407
1053,3434,79,73733,33736,107469
1265,3750,51,73401,34079,107480
1218,3676,127,59190,48371,107561
894,3159,51,75936,31691,107627
777,2989,51,74735,32899,107634
914,3179,79,74271,33378,107649
993,3317,79,73728,34091,107819
986,3308,79,72185,35753,107938
400,2193,55,77414,30563,107977
1281,3769,51,75136,32848,107984
925,3190,79,75927,32101,108028
906,3171,79,74876,33161,108037
884,3149,51,72117,35947,108064
1048,3428,79,69657,38506,108163
945,3232,51,74252,33963,108215
757,2955,48,65525,42694,108219
990,3312,79,73720,34529,108249
1130,3532,130,73461,34801,108262
1007,3344,79,73534,34742,108276
938,3203,79,75836,32458,108294
1138,3545,51,75757,32554,108311
889,3154,51,71732,36587,108319
1307,3812,79,76271,32193,108464
1028,3370,130,75252,33248,108500
1313,3823,79,72708,35812,108520
814,3055,79,75599,32990,108589
918,3183,79,70020,38577,108597
1001,3331,130,74642,34005,108647
1051,3432,79,72967,35697,108664
992,3315,79,70327,38462,108789
892,3157,51,74826,33963,108789
667,2804,51,73309,35484,108793
1022,3362,130,75273,33550,108823
1264,3749,130,74219,34695,108914
795,3017,51,77443,31479,108922
1222,3680,48,61200,47789,108989
981,3302,51,77039,32168,109207
1162,3577,51,73458,35922,109380
1329,3847,79,77295,32149,109444
944,3221,51,75031,34435,109466
368,2138,55,76430,33189,109619
1011,3349,79,72848,36847,109695
675,2814,51,70147,39620,109767
982,3303,79,74276,35568,109844
1335,3854,79,78725,31424,110149
936,3201,79,74010,36147,110157
1004,3336,79,76975,33285,110260
371,2142,55,71968,38441,110409
973,3294,79,74999,35484,110483
902,3167,79,78333,32195,110528
1002,3332,51,75079,35516,110595
776,2988,104,73794,36817,110611
1333,3851,79,78776,31871,110647
775,2987,79,72165,38606,110771
1219,3677,48,64243,46590,110833
976,3297,79,75725,35201,110926
924,3189,79,73436,37656,111092
1126,3525,130,76256,34852,111108
1304,3806,49,63803,47635,111438
834,3083,105,63981,47517,111498
963,3268,51,79327,32191,111518
872,3134,105,64060,47485,111545
974,3295,79,75689,35868,111557
825,3069,51,79564,32131,111695
681,2825,51,78971,32737,111708
729,2914,48,68174,43550,111724
1153,3565,49,64233,47608,111841
404,2198,55,76486,35377,111863
1068,3452,105,63901,48017,111918
373,2144,55,71871,40099,111970
1155,3568,49,64478,47513,111991
1298,3797,49,64944,47205,112149
953,3245,105,64632,47568,112200
1161,3576,130,75038,37184,112222
1139,3547,130,79571,32654,112225
1159,3574,49,64721,47544,112265
929,3194,79,79717,32589,112306
1100,3489,105,64851,47457,112308
1261,3745,130,77384,34995,112379
980,3301,79,74863,37585,112448
1169,3589,49,64999,47492,112491
1097,3486,105,64910,47677,112587
748,2945,51,74473,38160,112633
998,3327,105,65341,47349,112690
952,3243,105,65196,47495,112691
861,3121,105,65239,47454,112693
1096,3485,105,65128,47597,112725
1244,3715,49,65403,47339,112742
1024,3364,130,79160,33627,112787
1309,3815,49,65539,47269,112808
1098,3487,105,65115,47704,112819
1342,3876,48,64189,48632,112821
968,3284,51,74235,38592,112827
1070,3455,105,65573,47362,112935
891,3156,51,74581,38379,112960
1105,3494,105,65822,47211,113033
1237,3704,49,65241,47798,113039
1094,3483,105,64692,48353,113045
1069,3454,105,65667,47448,113115
1088,3477,105,65449,47700,113149
855,3113,105,65104,48045,113149
862,3122,105,65346,47807,113153
